,№ п/п,Номер ТП,Адрес ТП,Вид ТП,Тип по размещению,Источник теплоснабжения,Административный округ (ТП),Муниципальный район,Дата ввода в эксплуатацию,Балансодержатель,Адрес строения,Тепловая нагрузка ГВС ср.,Тепловая нагрузка ГВС факт.,Тепловая нагрузка отопления строения,Тепловая нагрузка вентиляции строения,Диспетчеризация
4949,4950,04-04-0212/063,"ул. Молдагуловой, д.3, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.3, корп.1",0.24,0.528,0.79,0.0,да
4950,4951,04-04-0212/063,"ул. Молдагуловой, д.3, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.3А",0.002,0.007,0.08,0.0,да
4951,4952,04-04-0212/063,"ул. Молдагуловой, д.3, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.3, корп.2",0.36,0.7924498,0.8,0.0,да
4952,4953,04-04-0212/063,"ул. Молдагуловой, д.3, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.3, корп.3",0.37,0.81881,0.86,0.0,да
4953,4954,04-04-0212/063,"ул. Молдагуловой, д.3, корп.2, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"ул. Молдагуловой, д.3Б",0.01,0.035,0.08,0.09,да
4954,4955,04-02-0608/117,"ул. Барболина, д.8, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1970-01-01,ПАО «МОЭК»,"4-я Сокольническая ул., д.4",0.077,0.17356,0.136,0.0,да
4955,4956,04-02-0608/117,"ул. Барболина, д.8, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1970-01-01,ПАО «МОЭК»,"ул. Гастелло, д.5",0.0,0.0,0.0,0.0,да
4956,4957,04-02-0608/117,"ул. Барболина, д.8, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1970-01-01,ПАО «МОЭК»,"4-я Сокольническая ул., д.2",0.16,0.3585,0.39,0.0,да
4957,4958,04-02-0608/117,"ул. Барболина, д.8, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1970-01-01,ПАО «МОЭК»,"ул. Барболина, д.6",0.15366,0.34281,0.5658,0.0683,да
4958,4959,04-02-0608/117,"ул. Барболина, д.8, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1970-01-01,ПАО «МОЭК»,"ул. Барболина, д.8",0.14,0.308,0.46,0.0,да
4959,4960,04-02-0608/117,"ул. Барболина, д.8, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Сокольники,1970-01-01,ПАО «МОЭК»,"5-я Сокольническая ул., д.1",0.116,0.2591,0.403,0.0,да
4960,4961,04-01-0607/011,"2-я Пугачёвская ул., д.4, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"2-я Пугачёвская ул., д.4, корп.1",0.16,0.367665,0.32,0.0,да
4961,4962,04-01-0607/011,"2-я Пугачёвская ул., д.4, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.14А",0.0,0.0,0.05,0.0,да
4962,4963,04-01-0607/011,"2-я Пугачёвская ул., д.4, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"2-я Пугачёвская ул., д.6, корп.2",0.13,0.286,0.33,0.0,да
4963,4964,04-01-0607/011,"2-я Пугачёвская ул., д.4, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.14, корп.1",0.19,0.418,0.4,0.0,да
4964,4965,04-01-0607/011,"2-я Пугачёвская ул., д.4, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"2-я Пугачёвская ул., д.6, корп.1",0.08,0.176,0.15,0.0,да
4965,4966,04-01-0607/011,"2-я Пугачёвская ул., д.4, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"Большая Черкизовская ул., д.14, корп.2",0.21,0.462,0.42,0.0,да
4966,4967,04-01-0607/011,"2-я Пугачёвская ул., д.4, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"2-я Пугачёвская ул., д.4, корп.2",0.18,0.396,0.36,0.0,да
4967,4968,04-01-0607/011,"2-я Пугачёвская ул., д.4, корп.2, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Преображенское,1966-01-01,ПАО «МОЭК»,"2-я Пугачёвская ул., д.6",0.02,0.07,0.078,0.072,да
4968,4969,04-02-0422/100,"Измайловское шоссе, д.57",ИТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1957-01-01,ПАО «МОЭК»,"Измайловское шоссе, д.57",0.25,0.5721,0.67,0.0,да
4969,4970,04-02-0409/122,"Кирпичная ул., д.14, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1974-01-01,ПАО «МОЭК»,"Вольная ул., д.5Б",0.237178,0.830123,0.087,0.106,да
4970,4971,04-02-0409/122,"Кирпичная ул., д.14, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1974-01-01,ПАО «МОЭК»,"Кирпичная ул., д.18",0.172,0.602,0.52,0.07,да
4971,4972,04-02-0409/122,"Кирпичная ул., д.14, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1974-01-01,ПАО «МОЭК»,"Кирпичная ул., д.14",0.1,0.22377,0.27,0.0,да
4972,4973,04-06-0601/110,"Щёлковское шоссе, д.82, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,2004-01-01,ПАО «МОЭК»,"15-я Парковая ул., д.51",0.253977,0.8889195,0.1935,0.1422,да
4973,4974,04-06-0601/110,"Щёлковское шоссе, д.82, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,2004-01-01,ПАО «МОЭК»,"15-я Парковая ул., д.49",0.4773,1.05006,1.4397,0.0,да
4974,4975,04-06-0601/110,"Щёлковское шоссе, д.82, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,2004-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.82, корп.1",0.5033,1.12338,1.5743,0.0,да
4975,4976,04-02-0608/018,"ул. Олений Вал, д.22, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Сокольники,1959-01-01,ПАО «МОЭК»,"ул. Олений Вал, д.22",0.0,0.0,0.09,0.0,да
4976,4977,04-02-0608/018,"ул. Олений Вал, д.22, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Сокольники,1959-01-01,ПАО «МОЭК»,"ул. Олений Вал, д.22, корп.1",0.895,3.1325,1.2785,1.1645,да
4977,4978,04-02-0608/018,"ул. Олений Вал, д.22, корп.1",ЦТП,Подвальное,ТЭЦ №23,Восточный,район Сокольники,1959-01-01,ПАО «МОЭК»,"ул. Олений Вал, д.22, корп.2",0.0,0.0,0.0,0.0,да
4978,4979,04-05-0604/206,"Верхняя Первомайская ул., д.57",ИТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,2009-10-01,ПАО «МОЭК»,"Верхняя Первомайская ул., д.57",0.191714,0.670999,0.48176,1.253,нет
4979,4980,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"ул. Красный Казанец, д.5",0.33,0.726,0.56,0.0,да
4980,4981,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Снайперская ул., д.8",0.038,0.133,0.087,0.0,да
4981,4982,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Снайперская ул., д.10, корп.1",0.25,0.55,0.71,0.0,да
4982,4983,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Снайперская ул., д.14/9",0.25,0.55,0.75,0.0,да
4983,4984,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Снайперская ул., д.12",0.34,0.748,0.97,0.0,да
4984,4985,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Снайперская ул., д.10, корп.2",0.15,0.33,0.43,0.0,да
4985,4986,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Снайперская ул., д.8Б",0.01,0.035,0.026,0.0,да
4986,4987,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"ул. Красный Казанец, д.7А",0.046,0.161,0.14,0.035,да
4987,4988,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"ул. Красный Казанец, д.7",0.18,0.396,0.49,0.0,да
4988,4989,04-04-0212/002,"Снайперская ул., д.14, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Вешняки,1970-01-01,ПАО «МОЭК»,"Снайперская ул., д.8А",0.012,0.042,0.045,0.0,да
4989,4990,04-02-0609/047,"Фортунатовская ул., д.17, стр.2",ИТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Соколиная Гора,1973-01-01,ПАО «МОЭК»,"Фортунатовская ул., д.17",0.24,0.528,0.52,0.0,да
4990,4991,04-04-0223/042,"Сапёрный пр., д.11, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1983-01-01,ПАО «МОЭК»,"Сапёрный пр., д.13",0.28,0.6251,0.73,0.0,да
4991,4992,04-04-0223/042,"Сапёрный пр., д.11, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1983-01-01,ПАО «МОЭК»,"Сапёрный пр., д.15",0.38,0.836,0.72,0.0,да
4992,4993,04-04-0223/042,"Сапёрный пр., д.11, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1983-01-01,ПАО «МОЭК»,"Сапёрный пр., д.11",0.188,0.417955,0.427,0.0,да
4993,4994,04-04-0223/042,"Сапёрный пр., д.11, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1983-01-01,ПАО «МОЭК»,"Напольный пр., д.10",0.41,0.902,1.05,0.0,да
4994,4995,04-02-0422/078,"Зверинецкая ул., д.6",ИТП,Подвальное,ТЭЦ №11,Восточный,район Соколиная Гора,1963-01-01,ПАО «МОЭК»,"Зверинецкая ул., д.6",0.07,0.1657,0.23,0.0,да
4995,4996,04-05-0602/026,"Первомайская ул., д.25/26",ИТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1968-01-01,ПАО «МОЭК»,"Первомайская ул., д.25/26",0.0682,0.1596938,0.2606,0.02997,да
4996,4997,04-06-0615/032,"Уральская ул., д.12/21, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1995-01-01,ПАО «МОЭК»,"Байкальская ул., д.23",0.222,0.504,0.712,0.14,да
4997,4998,04-06-0615/032,"Уральская ул., д.12/21, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1995-01-01,ПАО «МОЭК»,"Уральская ул., д.12/21",0.2614,0.58444,0.591,0.0,да
4998,4999,04-06-0615/032,"Уральская ул., д.12/21, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1995-01-01,ПАО «МОЭК»,"Алтайская ул., д.2",0.345,0.759,0.766,0.0,да
4999,5000,04-06-0615/032,"Уральская ул., д.12/21, стр.2",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1995-01-01,ПАО «МОЭК»,"Алтайская ул., д.2А",0.05,0.175,0.193,0.07,да
5000,5001,04-02-0608/027,"Большая Остроумовская ул., д.12, корп.1",ИТП,Подвальное,ТЭЦ №23,Восточный,район Сокольники,1937-01-01,ПАО «МОЭК»,"Большая Остроумовская ул., д.12, корп.1",0.02,0.07,0.3,0.0,да
5001,5002,04-10-026,"Святоозерская ул., д.18, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-03-27,ПАО «МОЭК»,"Святоозерская ул., д.18",0.35486,0.797644,1.349789,0.0,нет
5002,5003,04-10-026,"Святоозерская ул., д.18, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-03-27,ПАО «МОЭК»,"ул. Татьяны Макаровой, д.8",0.407528,0.9122578,1.367971,0.0,нет
5003,5004,04-10-026,"Святоозерская ул., д.18, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-03-27,ПАО «МОЭК»,"Святоозерская ул., д.20",0.0984,0.3444,0.109,0.106,нет
5004,5005,04-10-026,"Святоозерская ул., д.18, стр.1",ЦТП,Отдельно стоящий,РТС Перово,Восточный,район Косино-Ухтомский,2006-03-27,ПАО «МОЭК»,"Святоозерская ул., д.16",0.310742,0.725937,0.99122,0.0,нет
5005,5006,04-01-0610/028,"Краснобогатырская ул., д.21, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1974-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.21А",0.08,0.28,0.32,1.11,да
5006,5007,04-01-0610/028,"Краснобогатырская ул., д.21, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1974-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.21",0.62,1.3646097,1.28,0.0,да
5007,5008,04-01-0610/028,"Краснобогатырская ул., д.21, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1974-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.19, корп.2",0.15,0.330234,0.34,0.0,да
5008,5009,04-01-0610/028,"Краснобогатырская ул., д.21, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1974-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.19, корп.3",0.23,0.506,0.61,0.0,да
5009,5010,04-01-0610/028,"Краснобогатырская ул., д.21, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1974-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.19, корп.1",0.19,0.47,0.51,0.0,да
5010,5011,04-01-0610/028,"Краснобогатырская ул., д.21, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Богородское,1974-01-01,ПАО «МОЭК»,"Краснобогатырская ул., д.19А",0.017143,0.0600005,0.04,0.0,да
5011,5012,04-03-0209/034,"2-я Владимирская ул., д.6, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1967-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.6, корп.2",0.079,0.174164,0.3,0.0,нет
5012,5013,04-03-0209/034,"2-я Владимирская ул., д.6, корп.2",ЦТП,Подвальное,ТЭЦ №22,Восточный,район Перово,1967-01-01,ПАО «МОЭК»,"2-я Владимирская ул., д.8, корп.1",0.079,0.175698,0.3,0.0,нет
5013,5014,04-06-0601/035,"Сахалинская ул., д.5, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Сахалинская ул., д.7, корп.2",0.25,0.55,0.53,0.0,да
5014,5015,04-06-0601/035,"Сахалинская ул., д.5, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Сахалинская ул., д.11",0.25,0.55,0.51,0.0,да
5015,5016,04-06-0601/035,"Сахалинская ул., д.5, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Уссурийская ул., д.5, корп.1",0.48,1.056338,1.49,0.0,да
5016,5017,04-06-0601/035,"Сахалинская ул., д.5, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Сахалинская ул., д.5, корп.1",0.25,0.55,0.51,0.0,да
5017,5018,04-06-0601/035,"Сахалинская ул., д.5, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Сахалинская ул., д.5, корп.2",0.25,0.5503159,0.54,0.0,да
5018,5019,04-06-0601/035,"Сахалинская ул., д.5, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Камчатская ул., д.6",0.05,0.175,0.18,0.67,да
5019,5020,04-06-0601/035,"Сахалинская ул., д.5, корп.1, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Гольяново,1970-01-01,ПАО «МОЭК»,"Сахалинская ул., д.7, корп.1",0.25,0.55,0.51,0.0,да
5020,5021,04-02-0409/088,"5-я ул. Соколиной Горы, д.25, стр.5",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1975-01-01,ПАО «МОЭК»,"ул. Бориса Жигулёнкова, д.27",0.22899,0.525865,0.3439,0.21081,да
5021,5022,04-02-0409/088,"5-я ул. Соколиной Горы, д.25, стр.5",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1975-01-01,ПАО «МОЭК»,"5-я ул. Соколиной Горы, д.25, корп.5",0.172,0.3784,0.3068,0.0,да
5022,5023,04-02-0409/088,"5-я ул. Соколиной Горы, д.25, стр.5",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1975-01-01,ПАО «МОЭК»,"8-я ул. Соколиной Горы, д.20, корп.1",0.266,0.61484,0.5064,0.0569,да
5023,5024,04-02-0409/088,"5-я ул. Соколиной Горы, д.25, стр.5",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1975-01-01,ПАО «МОЭК»,"5-я ул. Соколиной Горы, д.25, корп.4",0.1712,0.4042,0.6047,0.0,да
5024,5025,04-02-0409/088,"5-я ул. Соколиной Горы, д.25, стр.5",ЦТП,Отдельно стоящий,ТЭЦ №11,Восточный,район Соколиная Гора,1975-01-01,ПАО «МОЭК»,"5-я ул. Соколиной Горы, д.25, корп.3",0.0588,0.1408,0.2253,0.0,да
5025,5026,04-05-0602/025,"1-я Прядильная ул., д.9",ИТП,Подвальное,ТЭЦ №23,Восточный,район Измайлово,1964-01-01,ПАО «МОЭК»,"1-я Прядильная ул., д.9",0.0,0.0,0.34,0.0,нет
5026,5027,04-01-0607/069,"Ивантеевская ул., д.9",ИТП,Подвальное,ТЭЦ №23,Восточный,район Богородское,2004-01-01,ПАО «МОЭК»,"Ивантеевская ул., д.9",0.151,0.3439,0.49,0.173,да
5027,5028,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.6",0.02,0.07,0.09,0.0,да
5028,5029,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.15, корп.3",0.12,0.264,0.29,0.0,да
5029,5030,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.15, корп.4",0.12,0.264,0.29,0.0,да
5030,5031,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.11, корп.3",0.13,0.286,0.26,0.0,да
5031,5032,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.15, корп.1",0.12,0.264,0.29,0.0,да
5032,5033,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.11, корп.4",0.1,0.22,0.26,0.0,да
5033,5034,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.7",0.08,0.28,0.8,0.11,да
5034,5035,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.11А",0.06,0.21,0.16,0.0,да
5035,5036,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Зелёный просп., д.76",0.11,0.24486,0.26,0.0,да
5036,5037,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.9, корп.3",0.13,0.286,0.26,0.0,да
5037,5038,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.13",0.32,0.714023,0.77,0.0,да
5038,5039,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.15, корп.2",0.12,0.264,0.29,0.0,да
5039,5040,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.9, корп.1",0.1,0.23612,0.27,0.11,да
5040,5041,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.11, корп.5",0.1,0.22,0.26,0.0,да
5041,5042,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.11, корп.1",0.1,0.233,0.27,0.27,да
5042,5043,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.11, корп.2",0.13,0.286,0.26,0.0,да
5043,5044,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.15, корп.6",0.12,0.264,0.21,0.08,да
5044,5045,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Союзный просп., д.24",0.41,0.90213,0.97,0.0,да
5045,5046,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.15, корп.5",0.12,0.264,0.29,0.0,да
5046,5047,04-04-0224/011,"Фрязевская ул., д.11, корп.4, стр.3",ЦТП,Отдельно стоящий,ТЭЦ №22,Восточный,район Новогиреево,1969-01-01,ПАО «МОЭК»,"Фрязевская ул., д.9, корп.2",0.13,0.286,0.26,0.0,да
5047,5048,04-06-0603/042,"9-я Парковая ул., д.55, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1976-01-01,ПАО «МОЭК»,"9-я Парковая ул., д.57, корп.3А",0.078,0.175318,0.164,0.0,да
5048,5049,04-06-0603/042,"9-я Парковая ул., д.55, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1976-01-01,ПАО «МОЭК»,"9-я Парковая ул., д.57, корп.2",0.104,0.2288,0.226,0.0,да
5049,5050,04-06-0603/042,"9-я Парковая ул., д.55, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1976-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.48",0.012,0.042,0.042,0.03,да
5050,5051,04-06-0603/042,"9-я Парковая ул., д.55, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1976-01-01,ПАО «МОЭК»,"9-я Парковая ул., д.55",0.1254,0.28368,0.27,0.0,да
5051,5052,04-06-0603/042,"9-я Парковая ул., д.55, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1976-01-01,ПАО «МОЭК»,"9-я Парковая ул., д.61, корп.3",0.104,0.2288,0.226,0.0,да
5052,5053,04-06-0603/042,"9-я Парковая ул., д.55, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1976-01-01,ПАО «МОЭК»,"ул. Константина Федина, д.7",0.104,0.228865,0.226,0.0,да
5053,5054,04-06-0603/042,"9-я Парковая ул., д.55, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1976-01-01,ПАО «МОЭК»,"Щёлковское шоссе, д.48, стр.3",0.0,0.0,0.0,0.0,да
5054,5055,04-06-0603/042,"9-я Парковая ул., д.55, стр.1",ЦТП,Отдельно стоящий,ТЭЦ №23,Восточный,район Северное Измайлово,1976-01-01,ПАО «МОЭК»,"9-я Парковая ул., д.61, корп.2",0.104,0.2290236,0.226,0.0,да
